name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license
mit-deep-learning-book-pdf,janishar,Java,14196,2909,14196,12,2017-04-07 10:46:50+00:00,2026-08-15 21:02:46+00:00,None
ivy,unifyai,Python,14171,5466,14171,985,2021-01-19 08:37:25+00:00,2026-08-13 15:59:43+00:00,other
handson-ml3,ageron,Jupyter Notebook,13933,5244,13933,107,2022-02-19 09:43:22+00:00,2026-08-16 22:05:58+00:00,apache-2.0
machine-learning-zoomcamp,DataTalksClub,Jupyter Notebook,13923,3091,13923,3,2020-04-17 04:29:23+00:00,2026-08-16 19:53:14+00:00,None
tvm,apache,Python,13667,3956,13667,236,2016-10-12 22:20:28+00:00,2026-08-16 16:16:52+00:00,apache-2.0
Ai-Learn,tangyudi,Unknown,13260,2676,13260,20,2020-01-28 01:55:06+00:00,2026-08-16 13:01:52+00:00,None
deep-learning-drizzle,kmario23,HTML,12932,2988,12932,5,2018-11-26 01:17:36+00:00,2026-08-16 06:25:48+00:00,None
machine-learning-interview,khangich,Unknown,12784,2043,12784,9,2020-08-11 06:26:32+00:00,2026-08-16 09:45:17+00:00,None
python-machine-learning-book,rasbt,Jupyter Notebook,12639,4372,12639,13,2015-08-07 20:39:29+00:00,2026-08-16 15:25:34+00:00,mit
predictionio,apache,Scala,12519,1899,12519,80,2013-01-25 19:42:32+00:00,2026-08-12 22:04:23+00:00,apache-2.0
lime,marcotcr,JavaScript,12167,1847,12167,133,2016-03-15 22:18:10+00:00,2026-08-15 22:11:09+00:00,bsd-2-clause
cleanlab,cleanlab,Python,11626,915,11626,119,2018-05-11 01:55:21+00:00,2026-08-16 13:16:58+00:00,apache-2.0
dive-into-machine-learning,dive-into-machine-learning,Unknown,11393,1866,11393,0,2015-02-22 23:48:16+00:00,2026-08-12 14:37:13+00:00,cc-by-4.0
MLAlgorithms,rushter,Python,11164,1770,11164,10,2016-10-05 06:46:45+00:00,2026-08-16 15:25:13+00:00,mit
turicreate,apple,C++,11163,1118,11163,522,2017-12-01 00:42:04+00:00,2026-08-12 00:02:52+00:00,bsd-3-clause
amazon-sagemaker-examples,aws,Jupyter Notebook,10982,6960,10982,849,2017-10-23 05:55:22+00:00,2026-08-15 13:18:21+00:00,apache-2.0
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10941,1678,10941,7,2024-05-18 15:42:58+00:00,2026-08-16 18:59:40+00:00,None
dolly,databrickslabs,Python,10805,1141,10805,6,2023-03-24 16:15:53+00:00,2026-08-16 09:28:29+00:00,apache-2.0
doccano,doccano,Python,10740,1824,10740,396,2018-05-09 06:10:05+00:00,2026-08-16 17:55:49+00:00,mit
mlcourse.ai,Yorko,Python,10691,5701,10691,4,2017-02-27 08:32:20+00:00,2026-08-16 21:52:25+00:00,other
machine-learning-systems-design,chiphuyen,HTML,10522,1628,10522,11,2019-11-24 23:16:28+00:00,2026-08-16 20:51:05+00:00,None
Machine-Learning,Jack-Cherish,Python,10369,5065,10369,7,2017-03-25 07:32:37+00:00,2026-08-16 06:03:23+00:00,None
machine-learning-notes,roboticcam,Jupyter Notebook,10328,1825,10328,28,2018-02-15 15:42:33+00:00,2026-08-16 02:36:08+00:00,None
3D-Machine-Learning,timzhang642,Unknown,10195,1797,10195,21,2017-08-12 15:20:54+00:00,2026-08-16 07:04:30+00:00,None
tpot,EpistasisLab,Jupyter Notebook,10053,1564,10053,312,2015-11-03 21:08:40+00:00,2026-08-15 15:15:45+00:00,lgpl-3.0
sktime,sktime,Python,9923,2296,9923,2398,2018-11-06 15:08:24+00:00,2026-08-16 22:45:21+00:00,bsd-3-clause
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9485,3051,9485,47,2017-12-18 10:49:59+00:00,2026-08-16 19:16:57+00:00,apache-2.0
cog,replicate,Go,9459,694,9459,68,2021-02-26 23:43:09+00:00,2026-08-15 22:07:16+00:00,apache-2.0
golearn,sjwhitworth,Go,9437,1166,9437,89,2013-12-26 13:06:14+00:00,2026-08-15 08:34:11+00:00,mit
machinelearning,dotnet,C#,9347,1952,9347,1008,2018-05-03 16:20:42+00:00,2026-08-16 18:53:12+00:00,mit
awesome-ml-for-cybersecurity,jivoi,Unknown,9287,1939,9287,33,2016-12-20 12:46:36+00:00,2026-08-16 20:07:02+00:00,other
awesome-project-ideas,NirantK,Unknown,9266,1291,9266,7,2017-08-19 09:37:58+00:00,2026-08-16 22:36:48+00:00,mit
catboost,catboost,C++,9068,1318,9068,720,2017-07-18 05:29:04+00:00,2026-08-16 19:21:41+00:00,apache-2.0
machine_learning_examples,lazyprogrammer,Python,8910,6405,8910,33,2014-07-31 23:40:45+00:00,2026-08-15 19:56:22+00:00,None
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8897,1294,8897,14,2017-11-09 01:21:40+00:00,2026-08-14 15:37:36+00:00,apache-2.0
pattern,clips,Python,8859,1557,8859,179,2011-05-03 15:29:01+00:00,2026-08-16 06:22:40+00:00,bsd-3-clause
AIMLInterviews,alirezadir,Jupyter Notebook,8790,1535,8790,11,2021-01-31 03:52:09+00:00,2026-08-16 23:32:04+00:00,mit
financial-machine-learning,firmai,Python,8745,1409,8745,15,2019-03-21 21:00:35+00:00,2026-08-16 18:01:47+00:00,None
vowpal_wabbit,VowpalWabbit,C++,8702,1925,8702,3,2009-07-31 19:36:58+00:00,2026-08-16 00:32:04+00:00,other
MachineLearning_Python,lawlite19,Python,8579,2515,8579,10,2016-10-17 15:44:59+00:00,2026-08-16 09:34:01+00:00,mit
Machine-Learning-Collection,aladdinpersson,Python,8484,2787,8484,119,2020-03-26 07:02:40+00:00,2026-08-16 06:02:49+00:00,mit
approachingalmost,abhishekkrthakur,Unknown,8370,1122,8370,54,2020-07-04 07:13:20+00:00,2026-08-15 13:20:52+00:00,None
introduction_to_ml_with_python,amueller,Jupyter Notebook,8146,4672,8146,28,2016-05-29 18:29:47+00:00,2026-08-15 22:10:34+00:00,None
auto-sklearn,automl,Python,8127,1325,8127,208,2015-07-02 15:38:10+00:00,2026-08-14 22:21:56+00:00,bsd-3-clause
machine-learning-cheat-sheet,soulmachine,TeX,8044,1332,8044,11,2013-05-09 07:43:59+00:00,2026-08-16 15:06:14+00:00,None
cortex,cortexlabs,Go,8010,593,8010,131,2019-01-24 04:43:14+00:00,2026-08-14 06:57:58+00:00,apache-2.0
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,mit
machine-learning-yearning-cn,deeplearning-ai,CSS,7846,1501,7846,4,2018-06-19 19:26:39+00:00,2026-08-13 11:02:10+00:00,other
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7771,3725,7771,26,2022-06-16 15:31:02+00:00,2026-08-16 16:18:20+00:00,mit
Machine-learning-learning-notes,Vay-keen,Unknown,7763,1879,7763,28,2018-03-24 06:48:10+00:00,2026-08-14 17:10:02+00:00,None
awesome-youtubers,JoseDeFreitas,Markdown,7688,493,7688,2,2020-08-25 14:18:15+00:00,2026-08-16 19:30:54+00:00,cc0-1.0
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7607,2311,7607,19,2018-03-02 10:59:53+00:00,2026-08-16 03:59:02+00:00,None
h2o-3,h2oai,Jupyter Notebook,7495,2027,7495,2880,2014-03-03 16:08:07+00:00,2026-08-16 15:26:27+00:00,apache-2.0
industry-machine-learning,firmai,Jupyter Notebook,7484,1249,7484,3,2019-05-03 05:08:15+00:00,2026-08-14 03:11:39+00:00,None
